3.548E-04 = radius(micron) ionized PAH/graphitic solid             
w(micron)   Q_ext     Q_abs     Q_sca    g=<cos>
1.972E+01 3.913E-06 3.913E-06 3.328E-16 0.00E+00
1.950E+01 3.679E-06 3.679E-06 3.483E-16 0.00E+00
1.928E+01 3.622E-06 3.622E-06 3.646E-16 0.00E+00
1.905E+01 3.780E-06 3.780E-06 3.816E-16 0.00E+00
1.884E+01 4.356E-06 4.356E-06 3.994E-16 0.00E+00
1.862E+01 6.173E-06 6.173E-06 4.181E-16 0.00E+00
1.841E+01 1.337E-05 1.337E-05 4.376E-16 0.00E+00
1.820E+01 2.100E-05 2.100E-05 4.581E-16 0.00E+00
1.799E+01 8.406E-06 8.406E-06 4.795E-16 0.00E+00
1.778E+01 4.859E-06 4.859E-06 5.019E-16 0.00E+00
1.758E+01 3.796E-06 3.796E-06 5.254E-16 0.00E+00
1.738E+01 3.408E-06 3.408E-06 5.500E-16 0.00E+00
1.718E+01 3.308E-06 3.308E-06 5.757E-16 0.00E+00
1.698E+01 3.451E-06 3.451E-06 6.026E-16 0.00E+00
1.679E+01 4.093E-06 4.093E-06 6.308E-16 0.00E+00
1.660E+01 7.255E-06 7.255E-06 6.604E-16 0.00E+00
1.641E+01 3.360E-05 3.360E-05 6.913E-16 0.00E+00
1.622E+01 7.782E-06 7.782E-06 7.236E-16 0.00E+00
1.603E+01 4.218E-06 4.218E-06 7.575E-16 0.00E+00
1.585E+01 3.519E-06 3.519E-06 7.930E-16 0.00E+00
1.567E+01 3.319E-06 3.319E-06 8.301E-16 0.00E+00
1.549E+01 3.277E-06 3.277E-06 8.690E-16 0.00E+00
1.531E+01 3.310E-06 3.310E-06 9.097E-16 0.00E+00
1.514E+01 3.389E-06 3.389E-06 9.524E-16 0.00E+00
1.496E+01 3.504E-06 3.504E-06 9.970E-16 0.00E+00
1.479E+01 3.653E-06 3.653E-06 1.044E-15 0.00E+00
1.462E+01 3.841E-06 3.841E-06 1.093E-15 0.00E+00
1.445E+01 4.073E-06 4.073E-06 1.144E-15 0.00E+00
1.429E+01 4.361E-06 4.361E-06 1.198E-15 0.00E+00
1.413E+01 4.722E-06 4.722E-06 1.254E-15 0.00E+00
1.396E+01 5.184E-06 5.184E-06 1.313E-15 0.00E+00
1.380E+01 5.788E-06 5.788E-06 1.374E-15 0.00E+00
1.365E+01 6.602E-06 6.602E-06 1.439E-15 0.00E+00
1.349E+01 7.739E-06 7.739E-06 1.506E-15 0.00E+00
1.334E+01 9.382E-06 9.382E-06 1.577E-15 0.00E+00
1.318E+01 1.182E-05 1.182E-05 1.651E-15 0.00E+00
1.303E+01 1.538E-05 1.538E-05 1.728E-15 0.00E+00
1.288E+01 1.987E-05 1.987E-05 1.809E-15 0.00E+00
1.274E+01 2.328E-05 2.328E-05 1.894E-15 0.00E+00
1.259E+01 2.289E-05 2.289E-05 1.983E-15 0.00E+00
1.245E+01 2.007E-05 2.007E-05 2.076E-15 0.00E+00
1.230E+01 1.808E-05 1.808E-05 2.173E-15 0.00E+00
1.216E+01 1.876E-05 1.876E-05 2.275E-15 0.00E+00
1.202E+01 2.472E-05 2.472E-05 2.382E-15 0.00E+00
1.189E+01 3.294E-05 3.294E-05 2.496E-15 0.00E+00
1.175E+01 2.860E-05 2.860E-05 2.619E-15 0.00E+00
